location,time_period,tp
GvgqqErqwFP,202401,58.92039
GvgqqErqwFP,202402,63.672035
GvgqqErqwFP,202403,103.060104
GvgqqErqwFP,202404,44.117367
GvgqqErqwFP,202405,148.6236
GvgqqErqwFP,202406,442.50247
GvgqqErqwFP,202407,790.26355
GvgqqErqwFP,202408,514.8777
GvgqqErqwFP,202409,535.93964
GvgqqErqwFP,202410,99.96001
GvgqqErqwFP,202411,63.653305
GvgqqErqwFP,202412,26.737484
RVc3XoVoNRf,202401,54.121902
RVc3XoVoNRf,202402,65.97417
RVc3XoVoNRf,202403,134.25127
RVc3XoVoNRf,202404,41.33392
RVc3XoVoNRf,202405,211.92784
RVc3XoVoNRf,202406,643.5751
RVc3XoVoNRf,202407,677.96277
RVc3XoVoNRf,202408,489.63644
RVc3XoVoNRf,202409,437.0496
RVc3XoVoNRf,202410,158.64308
RVc3XoVoNRf,202411,50.533955
RVc3XoVoNRf,202412,44.955658
Zx3boDXh1Q5,202401,11.098567
Zx3boDXh1Q5,202402,29.920406
Zx3boDXh1Q5,202403,33.760345
Zx3boDXh1Q5,202404,6.1125274
Zx3boDXh1Q5,202405,91.513466
Zx3boDXh1Q5,202406,200.75151
Zx3boDXh1Q5,202407,757.1719
Zx3boDXh1Q5,202408,444.2189
Zx3boDXh1Q5,202409,534.7333
Zx3boDXh1Q5,202410,53.356964
Zx3boDXh1Q5,202411,23.212029
Zx3boDXh1Q5,202412,11.2671385
a6W190BanBu,202401,2.0567462
a6W190BanBu,202402,9.351993
a6W190BanBu,202403,47.021286
a6W190BanBu,202404,0.65500116
a6W190BanBu,202405,78.661705
a6W190BanBu,202406,190.51918
a6W190BanBu,202407,486.65643
a6W190BanBu,202408,307.93073
a6W190BanBu,202409,461.60428
a6W190BanBu,202410,43.27031
a6W190BanBu,202411,9.23482
a6W190BanBu,202412,2.1691895
fvN7GZvNAOB,202401,20.915167
fvN7GZvNAOB,202402,66.021866
fvN7GZvNAOB,202403,68.973145
fvN7GZvNAOB,202404,39.197903
fvN7GZvNAOB,202405,77.50963
fvN7GZvNAOB,202406,122.12748
fvN7GZvNAOB,202407,485.2672
fvN7GZvNAOB,202408,358.3724
fvN7GZvNAOB,202409,303.60367
fvN7GZvNAOB,202410,30.585926
fvN7GZvNAOB,202411,21.454414
fvN7GZvNAOB,202412,25.702303
hi16ZuHEWaY,202401,29.055918
hi16ZuHEWaY,202402,28.650358
hi16ZuHEWaY,202403,87.07518
hi16ZuHEWaY,202404,19.485924
hi16ZuHEWaY,202405,160.8212
hi16ZuHEWaY,202406,439.36127
hi16ZuHEWaY,202407,758.889
hi16ZuHEWaY,202408,590.6165
hi16ZuHEWaY,202409,676.1334
hi16ZuHEWaY,202410,100.34102
hi16ZuHEWaY,202411,43.56218
hi16ZuHEWaY,202412,12.900176
wtU6v09Kbe0,202401,18.914934
wtU6v09Kbe0,202402,63.3089
wtU6v09Kbe0,202403,80.77772
wtU6v09Kbe0,202404,23.419367
wtU6v09Kbe0,202405,83.707214
wtU6v09Kbe0,202406,130.94078
wtU6v09Kbe0,202407,786.7542
wtU6v09Kbe0,202408,419.97787
wtU6v09Kbe0,202409,301.86862
wtU6v09Kbe0,202410,34.641422
wtU6v09Kbe0,202411,22.12274
wtU6v09Kbe0,202412,25.378464
