location,time_period,t2m_c
GvgqqErqwFP,202401,-0.6170217
GvgqqErqwFP,202402,0.06571794
GvgqqErqwFP,202403,3.7252576
GvgqqErqwFP,202404,8.672319
GvgqqErqwFP,202405,11.822377
GvgqqErqwFP,202406,14.537348
GvgqqErqwFP,202407,15.377536
GvgqqErqwFP,202408,14.732505
GvgqqErqwFP,202409,13.6994295
GvgqqErqwFP,202410,9.656417
GvgqqErqwFP,202411,6.2836967
GvgqqErqwFP,202412,2.178077
RVc3XoVoNRf,202401,5.7773337
RVc3XoVoNRf,202402,7.510945
RVc3XoVoNRf,202403,11.420203
RVc3XoVoNRf,202404,16.362017
RVc3XoVoNRf,202405,17.830286
RVc3XoVoNRf,202406,18.947357
RVc3XoVoNRf,202407,19.71363
RVc3XoVoNRf,202408,19.181145
RVc3XoVoNRf,202409,18.95443
RVc3XoVoNRf,202410,15.487704
RVc3XoVoNRf,202411,11.661761
RVc3XoVoNRf,202412,8.235427
Zx3boDXh1Q5,202401,11.002994
Zx3boDXh1Q5,202402,12.926067
Zx3boDXh1Q5,202403,17.994421
Zx3boDXh1Q5,202404,24.340307
Zx3boDXh1Q5,202405,25.758617
Zx3boDXh1Q5,202406,26.960438
Zx3boDXh1Q5,202407,24.862757
Zx3boDXh1Q5,202408,24.150467
Zx3boDXh1Q5,202409,23.864626
Zx3boDXh1Q5,202410,21.247427
Zx3boDXh1Q5,202411,17.215546
Zx3boDXh1Q5,202412,12.531965
a6W190BanBu,202401,15.296832
a6W190BanBu,202402,17.786865
a6W190BanBu,202403,22.890665
a6W190BanBu,202404,29.652958
a6W190BanBu,202405,29.942333
a6W190BanBu,202406,29.74632
a6W190BanBu,202407,28.339493
a6W190BanBu,202408,27.846794
a6W190BanBu,202409,27.920044
a6W190BanBu,202410,25.419432
a6W190BanBu,202411,21.580479
a6W190BanBu,202412,16.825943
fvN7GZvNAOB,202401,-4.480978
fvN7GZvNAOB,202402,-4.970113
fvN7GZvNAOB,202403,-0.4020106
fvN7GZvNAOB,202404,4.50763
fvN7GZvNAOB,202405,9.122885
fvN7GZvNAOB,202406,12.861718
fvN7GZvNAOB,202407,13.481222
fvN7GZvNAOB,202408,12.62543
fvN7GZvNAOB,202409,11.345364
fvN7GZvNAOB,202410,7.0399356
fvN7GZvNAOB,202411,3.5418725
fvN7GZvNAOB,202412,-1.774501
hi16ZuHEWaY,202401,7.6962657
hi16ZuHEWaY,202402,9.419355
hi16ZuHEWaY,202403,13.467588
hi16ZuHEWaY,202404,18.915792
hi16ZuHEWaY,202405,20.095041
hi16ZuHEWaY,202406,21.179293
hi16ZuHEWaY,202407,21.267765
hi16ZuHEWaY,202408,20.690763
hi16ZuHEWaY,202409,20.452421
hi16ZuHEWaY,202410,17.329964
hi16ZuHEWaY,202411,13.4408045
hi16ZuHEWaY,202412,9.942358
wtU6v09Kbe0,202401,5.4069834
wtU6v09Kbe0,202402,5.7439475
wtU6v09Kbe0,202403,10.808856
wtU6v09Kbe0,202404,16.22945
wtU6v09Kbe0,202405,19.53336
wtU6v09Kbe0,202406,21.996876
wtU6v09Kbe0,202407,20.504013
wtU6v09Kbe0,202408,19.68443
wtU6v09Kbe0,202409,19.118025
wtU6v09Kbe0,202410,16.068607
wtU6v09Kbe0,202411,12.022493
wtU6v09Kbe0,202412,7.0859795
